,weather_type,date,PRCP,TMAX,TMIN
162,,2000-06-11,0.14444444444444446,31.287499999999998,19.375
163,,2000-06-12,7.566666666666666,30.912499999999998,19.425
164,,2000-06-13,7.055555555555555,27.775,18.962500000000002
165,,2000-06-14,4.177777777777777,30.350000000000005,19.8625
166,,2000-06-15,8.611111111111109,30.485714285714284,19.0125
167,,2000-06-16,5.133333333333333,26.799999999999997,19.375000000000004
168,,2000-06-17,19.1,28.325,18.05
169,,2000-06-18,8.066666666666666,24.65,16.8625
170,,2000-06-19,3.4111111111111105,21.985714285714288,11.442857142857141
171,,2000-06-20,0.0,25.187499999999996,12.799999999999999
172,,2000-06-21,7.111111111111111,27.7625,14.925000000000002
173,,2000-06-22,2.2222222222222223,27.287499999999998,18.25
174,,2000-06-23,0.0,27.762499999999996,16.2625
175,,2000-06-24,0.4222222222222222,28.485714285714288,17.214285714285715
176,,2000-06-25,7.98888888888889,29.724999999999998,19.9875
177,,2000-06-26,0.9222222222222223,28.475,18.05
178,,2000-06-27,2.0555555555555554,29.100000000000005,17.637500000000003
179,,2000-06-28,0.9888888888888889,25.1375,15.4875
180,,2000-06-29,1.6333333333333333,24.587500000000002,14.6
181,,2000-06-30,1.0111111111111113,24.725,11.5375
182,,2000-07-01,0.0,24.9375,11.95
183,,2000-07-02,0.0,26.9375,14.0375
184,,2000-07-03,6.088888888888889,28.05,16.5875
185,,2000-07-04,16.27777777777778,25.4,19.150000000000002
186,,2000-07-05,0.15555555555555556,28.537499999999998,18.425
187,,2000-07-06,0.0,27.312499999999996,15.474999999999998
188,,2000-07-07,0.0,25.4875,13.4625
189,,2000-07-08,0.0,24.84285714285715,11.585714285714285
190,,2000-07-09,0.4222222222222222,26.8,13.262500000000001
191,,2000-07-10,2.688888888888889,29.725,17.6375
192,,2000-07-11,7.677777777777779,27.362499999999997,18.2625
193,,2000-07-12,0.0,26.8,14.7125
194,,2000-07-13,0.0,27.362499999999997,15.15
195,,2000-07-14,6.6,28.7375,15.762500000000001
196,,2000-07-15,9.355555555555554,28.125,14.662500000000001
197,,2000-07-16,6.022222222222222,25.137500000000003,14.3625
198,,2000-07-17,0.7,26.537499999999998,15.899999999999999
199,,2000-07-18,0.7888888888888889,27.699999999999996,16.1875
200,,2000-07-19,0.6333333333333333,26.9,15.7625
201,,2000-07-20,7.3999999999999995,20.4125,12.775
202,,2000-07-21,0.0,24.8,13.612500000000002
203,,2000-07-22,0.1111111111111111,25.1375,13.05
204,,2000-07-23,0.0,24.725,11.875
205,,2000-07-24,0.0,24.712500000000006,12.8375
206,,2000-07-25,0.0,24.933333333333334,13.533333333333331
207,,2000-07-26,0.0,27.222222222222225,14.688888888888888
208,,2000-07-27,2.1444444444444444,28.700000000000003,17.166666666666668
209,,2000-07-28,0.0,30.066666666666663,17.777777777777775
210,,2000-07-29,2.911111111111111,29.011111111111113,17.77777777777778
211,,2000-07-30,6.9111111111111105,26.41111111111111,17.38888888888889
212,,2000-07-31,3.2,27.424999999999997,19.7
213,,2000-08-01,3.7333333333333334,27.655555555555555,19.17777777777778
214,,2000-08-02,4.5125,28.462500000000002,18.925
215,,2000-08-03,2.5124999999999997,28.875,18.474999999999998
216,,2000-08-04,2.1375,25.55,13.8125
217,,2000-08-05,0.03333333333333333,24.800000000000004,11.111111111111112
218,,2000-08-06,19.099999999999998,26.42222222222222,12.155555555555557
219,,2000-08-07,22.155555555555555,28.76666666666667,17.711111111111112
220,,2000-08-08,0.05555555555555555,28.577777777777783,18.444444444444443
221,,2000-08-09,1.6111111111111112,27.512500000000003,19.58888888888889
222,,2000-08-10,3.0999999999999996,25.962500000000002,17.5875
223,,2000-08-11,0.0,26.977777777777774,16.188888888888886
224,,2000-08-12,0.0,26.055555555555557,13.766666666666667
225,,2000-08-13,0.0,24.944444444444443,12.466666666666667
226,,2000-08-14,0.0,26.42222222222222,12.711111111111112
227,,2000-08-15,0.0,27.655555555555555,15.677777777777777
228,,2000-08-16,0.0,29.688888888888886,17.655555555555555
229,,2000-08-17,0.2222222222222222,25.62222222222222,14.944444444444445
230,,2000-08-18,12.288888888888888,20.56666666666667,13.999999999999998
231,,2000-08-19,0.5111111111111111,21.977777777777774,12.477777777777776
232,,2000-08-20,0.0,22.288888888888888,10.02222222222222
233,,2000-08-21,0.0,23.34444444444444,9.677777777777777
234,,2000-08-22,0.0,25.91111111111111,10.799999999999999
235,,2000-08-23,0.711111111111111,28.08888888888889,14.744444444444444
236,,2000-08-24,22.61111111111111,27.2875,17.7
237,,2000-08-25,0.25555555555555554,26.1875,13.825
238,,2000-08-26,0.0,26.95,13.7375
239,,2000-08-27,9.800000000000002,26.299999999999997,14.1625
240,,2000-08-28,0.14444444444444446,25.677777777777777,15.199999999999998
241,,2000-08-29,0.0,26.477777777777778,16.42222222222222
242,,2000-08-30,0.0,28.766666666666666,16.988888888888887
243,,2000-08-31,0.0,29.25555555555555,17.888888888888893
244,,2000-09-01,0.2222222222222222,30.4125,17.9875
245,,2000-09-02,0.0,30.999999999999996,20.075000000000003
246,,2000-09-03,5.477777777777778,29.522222222222222,18.57777777777778
247,,2000-09-04,1.9666666666666666,28.71111111111111,18.255555555555556
248,,2000-09-05,1.6222222222222222,22.955555555555556,11.055555555555555
249,,2000-09-06,0.0,20.344444444444445,8.766666666666666
250,,2000-09-07,0.0,23.744444444444447,8.899999999999999
251,,2000-09-08,0.0,27.11111111111111,11.055555555555555
252,,2000-09-09,0.7888888888888889,26.111111111111107,17.655555555555555
253,,2000-09-10,1.8444444444444446,26.977777777777778,18.700000000000003
254,,2000-09-11,14.633333333333333,26.977777777777778,19.255555555555556
255,,2000-09-12,4.222222222222222,27.400000000000002,19.0
256,,2000-09-13,5.033333333333334,25.03333333333333,13.888888888888888
257,,2000-09-14,0.05555555555555555,24.244444444444447,11.966666666666667
258,,2000-09-15,3.788888888888889,22.700000000000003,10.61111111111111
259,,2000-09-16,0.16666666666666666,17.42222222222222,6.388888888888889
260,,2000-09-17,0.0,17.666666666666668,4.811111111111112
261,,2000-09-18,0.0,22.766666666666666,7.655555555555556
262,,2000-09-19,0.0,25.333333333333332,9.077777777777778
263,,2000-09-20,3.1333333333333333,26.655555555555555,12.466666666666665
264,,2000-09-21,10.78888888888889,27.388888888888893,10.866666666666667
265,,2000-09-22,0.03333333333333333,18.76666666666667,7.844444444444445
266,,2000-09-23,4.7625,22.362499999999997,9.375
267,,2000-09-24,28.477777777777778,23.38888888888889,9.866666666666667
268,,2000-09-25,1.1555555555555557,16.77777777777778,7.733333333333334
269,,2000-09-26,12.444444444444445,13.466666666666665,6.866666666666666
270,,2000-09-27,0.1111111111111111,17.925,5.699999999999999
271,,2000-09-28,0.0,19.9125,6.675
272,,2000-09-29,0.0,16.375000000000004,2.9
273,,2000-09-30,0.0,20.38571428571429,4.2
274,,2000-10-01,0.0,23.1,6.128571428571428
275,,2000-10-02,0.0,24.12857142857143,8.757142857142858
276,,2000-10-03,0.0,26.82857142857143,11.185714285714285
277,,2000-10-04,1.9625,25.9875,13.825
278,,2000-10-05,11.4375,23.825,12.5
279,,2000-10-06,17.9375,20.1375,11.450000000000001
280,,2000-10-07,0.2,14.914285714285713,0.5571428571428572
281,,2000-10-08,0.1375,9.912500000000001,-0.5625
282,,2000-10-09,0.9624999999999999,7.925,-0.9000000000000001
283,,2000-10-10,0.0,10.075,0.6875
284,,2000-10-11,0.0,16.4625,1.1749999999999998
285,,2000-10-12,0.0,19.4875,0.9571428571428571
286,,2000-10-13,0.0,21.285714285714285,2.5428571428571423
287,,2000-10-14,0.0,23.357142857142858,5.571428571428571
288,,2000-10-15,0.3125,23.88571428571429,7.871428571428572
289,,2000-10-16,1.8125,21.814285714285713,11.442857142857145
290,,2000-10-17,3.0125,18.742857142857144,11.428571428571427
291,,2000-10-18,5.5625,15.957142857142857,9.757142857142856
292,,2000-10-19,0.0375,16.82857142857143,5.814285714285715
293,,2000-10-20,0.0,21.2,5.628571428571429
294,,2000-10-21,0.0,22.84285714285715,6.657142857142857
295,,2000-10-22,0.0,23.32857142857143,7.92857142857143
296,,2000-10-23,0.0,23.17142857142857,7.942857142857144
297,,2000-10-24,2.0875,23.8,9.685714285714285
298,,2000-10-25,7.8374999999999995,20.314285714285713,11.757142857142856
299,,2000-10-26,0.0375,22.057142857142857,11.9
300,,2000-10-27,0.0,24.67142857142857,12.142857142857142
301,,2000-10-28,0.0625,24.985714285714288,8.5
302,,2000-10-29,0.0,13.185714285714285,-1.8428571428571427
303,,2000-10-30,0.0,13.814285714285717,-1.9285714285714286
304,,2000-10-31,0.0,16.416666666666664,-1.2000000000000002
305,,2000-11-01,0.0,17.7,-0.08571428571428573
306,,2000-11-02,0.0,19.02857142857143,1.6857142857142857
307,,2000-11-03,0.7999999999999999,21.914285714285715,5.714285714285714
308,,2000-11-04,0.2625,20.542857142857144,5.8
309,,2000-11-05,0.0,12.142857142857142,-0.5
310,,2000-11-06,0.0,13.242857142857144,-0.557142857142857
311,,2000-11-07,3.975,14.757142857142856,-0.14285714285714296
312,,2000-11-08,1.4000000000000001,17.45714285714286,8.485714285714286
313,,2000-11-09,7.449999999999999,18.675,10.712499999999999
314,,2000-11-10,9.875,19.85,5.9125
315,,2000-11-11,0.3875,7.2125,2.8499999999999996
316,,2000-11-12,0.0,8.812500000000002,0.6875
317,,2000-11-13,0.1625,9.0375,0.6875
318,,2000-11-14,0.5125,10.075,-1.0250000000000001
319,,2000-11-15,0.475,2.9875000000000003,-1.6249999999999998
320,,2000-11-16,0.0,5.475,-2.471428571428571
321,,2000-11-17,0.0,8.45,-1.6749999999999998
322,,2000-11-18,0.0375,2.3625000000000003,-2.4375
323,,2000-11-19,0.0,0.07499999999999996,-3.4625000000000004
324,,2000-11-20,0.075,4.65,-3.0500000000000003
325,,2000-11-21,0.8374999999999999,-0.2,-7.075000000000001
326,,2000-11-22,0.2,-3.2625,-10.6875
327,,2000-11-23,0.0,-0.33750000000000013,-10.6375
328,,2000-11-24,0.0,-0.08571428571428573,-7.842857142857143
329,,2000-11-25,0.0,5.9624999999999995,-7.042857142857144
330,,2000-11-26,5.674999999999999,7.7125,0.9874999999999999
331,,2000-11-27,4.7,7.2124999999999995,3.25
332,,2000-11-28,0.1625,6.4624999999999995,-0.22499999999999998
333,,2000-11-29,0.0,4.799999999999999,-3.125
334,,2000-11-30,3.9750000000000005,5.124999999999999,-2.6250000000000004
335,,2000-12-01,0.0,3.4,-1.25
336,,2000-12-02,0.7999999999999999,2.6999999999999997,-4.928571428571429
337,,2000-12-03,0.9875,0.1125,-8.175
338,,2000-12-04,0.0,2.0374999999999996,-9.637500000000001
339,,2000-12-05,0.11249999999999999,2.5,-8.55
340,,2000-12-06,0.0375,0.35,-11.174999999999999
341,,2000-12-07,0.36250000000000004,-3.8625,-11.124999999999998
342,,2000-12-08,2.8000000000000003,1.525,-6.2
343,,2000-12-09,0.04285714285714286,1.0166666666666666,-11.383333333333333
344,,2000-12-10,0.0,-0.08571428571428576,-9.828571428571431
345,,2000-12-11,0.5857142857142856,3.0142857142857147,-3.2571428571428576
346,,2000-12-12,12.457142857142857,8.700000000000001,-5.566666666666666
347,,2000-12-13,0.07142857142857142,-2.483333333333333,-9.514285714285714
348,,2000-12-14,12.714285714285714,0.15714285714285717,-8.885714285714286
349,,2000-12-15,0.04285714285714286,-0.15714285714285706,-5.614285714285714
350,,2000-12-16,3.271428571428572,3.8857142857142852,-4.914285714285714
351,,2000-12-17,34.41428571428572,9.200000000000001,-2.9285714285714284
352,,2000-12-18,2.1714285714285713,-2.8571428571428568,-13.471428571428573
353,,2000-12-19,1.3428571428571427,-3.4,-13.671428571428573
354,,2000-12-20,0.27142857142857146,-5.7,-12.700000000000001
355,,2000-12-21,0.08571428571428572,-6.6000000000000005,-11.742857142857144
356,,2000-12-22,0.41428571428571426,-2.542857142857143,-16.74285714285714
357,,2000-12-23,0.04285714285714286,-12.22857142857143,-18.414285714285715
358,,2000-12-24,0.0,-4.271428571428571,-15.942857142857141
359,,2000-12-25,0.0,-5.266666666666667,-18.533333333333335
360,,2000-12-26,0.0,-7.1428571428571415,-18.657142857142855
361,,2000-12-27,0.6333333333333333,-6.185714285714286,-15.957142857142859
362,,2000-12-28,0.3428571428571429,-5.171428571428572,-16.2
363,,2000-12-29,0.0,-6.728571428571429,-16.8
364,,2000-12-30,1.7,-3.9624999999999995,-10.7625
365,,2000-12-31,1.3285714285714287,-5.7,-10.7375
366,,2001-01-01,0.0375,-3.3249999999999997,-12.499999999999998
367,,2001-01-02,0.0625,-4.0875,-12.937499999999998
368,,2001-01-03,0.0,-4.5875,-15.424999999999999
369,,2001-01-04,0.575,-3.6625,-14.799999999999999
370,,2001-01-05,0.7999999999999999,-0.5625,-5.2
371,,2001-01-06,0.7285714285714285,1.8666666666666663,-2.4166666666666665
372,,2001-01-07,0.0,2.45,-4.025
373,,2001-01-08,0.0,4.937500000000001,-4.2125
374,,2001-01-09,0.5874999999999999,-1.45,-13.475
375,,2001-01-10,0.0,-4.675,-13.950000000000001
376,,2001-01-11,0.0,2.6374999999999997,-8.3875
377,,2001-01-12,0.0,6.0,-5.75
378,,2001-01-13,0.0,7.15,-6.112499999999999
379,,2001-01-14,0.0375,6.95,-5.1875
380,,2001-01-15,0.9875,5.35,-0.21249999999999997
381,,2001-01-16,0.1625,5.925,0.0
382,,2001-01-17,0.0,1.275,-1.8249999999999995
383,,2001-01-18,0.0,-0.425,-2.7875
384,,2001-01-19,2.9625000000000004,3.325,-2.5625
385,,2001-01-20,3.2,-0.21249999999999997,-7.0249999999999995
386,,2001-01-21,5.8125,-5.7,-11.875
387,,2001-01-22,0.0,-1.8624999999999998,-11.05
388,,2001-01-23,0.0,1.7375,-8.825000000000001
389,,2001-01-24,0.0,4.374999999999999,-8.175
390,,2001-01-25,0.4875,0.9,-8.625
391,,2001-01-26,0.25,-1.5875000000000001,-11.05
392,,2001-01-27,3.675,1.4625,-10.012500000000001
393,,2001-01-28,0.0625,-1.5374999999999996,-11.0375
394,,2001-01-29,1.4,0.33749999999999997,-9.7125
395,,2001-01-30,9.987499999999999,9.0125,-0.13750000000000012
396,,2001-01-31,7.725,8.799999999999999,0.7999999999999999
397,,2001-02-01,0.0375,4.1625000000000005,0.07499999999999998
398,,2001-02-02,0.225,1.9374999999999998,-3.8875
399,,2001-02-03,0.4125,-2.6142857142857143,-9.6
400,,2001-02-04,0.1375,-0.14999999999999997,-8.9
401,,2001-02-05,0.5125,7.7875,-1.875
402,,2001-02-06,0.125,2.7375,-1.4
403,,2001-02-07,1.4874999999999998,2.457142857142857,-3.1571428571428575
404,,2001-02-08,0.0,5.949999999999999,-2.8249999999999997
405,,2001-02-09,1.4249999999999998,16.725,3.4
406,,2001-02-10,8.3875,17.9125,-2.225
407,,2001-02-11,0.0375,0.5375000000000001,-7.975
408,,2001-02-12,0.0,0.47500000000000003,-8.112499999999999
409,,2001-02-13,0.0,7.1499999999999995,-3.75
410,,2001-02-14,2.2375000000000003,8.674999999999999,0.5375
411,,2001-02-15,11.65,11.875,0.9749999999999999
412,,2001-02-16,2.5125,3.6625,0.55
413,,2001-02-17,3.625,3.55,-6.125000000000001
414,,2001-02-18,0.0,-3.95,-10.0
415,,2001-02-19,0.0,-0.42500000000000004,-10.087499999999999
416,,2001-02-20,0.1,9.087499999999999,-4.45
417,,2001-02-21,0.0375,10.987499999999999,-4.3
418,,2001-02-22,0.1625,-0.6125,-7.699999999999999
419,,2001-02-23,0.95,-0.7625,-7.362499999999999
420,,2001-02-24,0.0,3.975,-3.6125
421,,2001-02-25,4.0249999999999995,13.1875,-1.2375
422,,2001-02-26,0.0,16.1125,-0.35000000000000003
423,,2001-02-27,0.0,5.8374999999999995,-1.5499999999999998
424,,2001-02-28,0.0,5.5625,-5.687500000000001
425,,2001-03-01,0.0,2.025,-7.8375
426,,2001-03-02,0.0,6.5375000000000005,-7.0875
427,,2001-03-03,0.0,7.142857142857144,0.41428571428571426
428,,2001-03-04,0.0,8.75,0.5499999999999999
429,,2001-03-05,8.8875,4.9375,-4.375
430,,2001-03-06,2.3125,0.20000000000000007,-6.325
431,,2001-03-07,0.325,0.14285714285714293,-4.8125
432,,2001-03-08,0.0,1.8749999999999998,-3.975
433,,2001-03-09,0.0625,4.362500000000001,-4.7875
434,,2001-03-10,0.0375,1.4624999999999997,-5.712500000000001
435,,2001-03-11,0.38749999999999996,7.0125,-4.875
436,,2001-03-12,0.6,8.6875,-2.15
437,,2001-03-13,14.425,14.5875,0.2749999999999999
438,,2001-03-14,3.1500000000000004,9.1,1.4
439,,2001-03-15,0.0,10.9875,0.5875
440,,2001-03-16,3.5625000000000004,9.45,1.2625
441,,2001-03-17,6.425,7.575,0.8374999999999999
442,,2001-03-18,0.575,2.225,-4.7875
443,,2001-03-19,0.0,7.500000000000001,-5.2875
444,,2001-03-20,0.225,10.775,-3.3285714285714287
445,,2001-03-21,5.3125,12.4375,0.6875
446,,2001-03-22,7.3625,9.725,0.8875000000000001
447,,2001-03-23,0.0,12.799999999999999,-1.1
448,,2001-03-24,0.375,11.862499999999999,0.6499999999999999
449,,2001-03-25,0.0,5.75,-6.125
