date,TMIN_Illinois,TMIN_Indiana,TMIN_Nebraska,TMIN_Ohio,TMIN_Iowa,TMAX_Illinois,TMAX_Indiana,TMAX_Nebraska,TMAX_Ohio,TMAX_Iowa,Season,Year,Month
2006-05-15,7.142857142857142,6.7625,2.1333333333333333,6.985714285714287,7.610000000000001,13.4,11.95,18.33333333333333,15.000000000000002,15.329999999999998,Spring,2006,5
2006-05-16,9.057142857142855,7.775,2.0500000000000003,7.7,9.89,17.91428571428571,14.4375,21.766666666666666,13.6125,19.32,Spring,2006,5
2006-05-17,8.871428571428572,8.3875,3.78,9.457142857142856,9.77,20.471428571428564,19.3,25.28333333333333,17.787499999999994,22.61,Spring,2006,5
2006-05-18,7.528571428571429,7.7125,4.7,7.6,9.1,21.91428571428571,21.6625,29.816666666666666,19.457142857142856,23.78,Spring,2006,5
2006-05-19,7.2285714285714295,6.6750000000000025,7.866666666666667,5.8,8.73,19.442857142857143,17.15,30.65,15.962500000000002,22.46,Spring,2006,5
2006-05-20,6.828571428571428,6.5375000000000005,11.566666666666665,5.628571428571428,9.05,21.6,19.5875,30.016666666666666,17.225,26.329999999999995,Spring,2006,5
2006-05-21,8.414285714285715,7.35,11.183333333333335,5.314285714285714,9.888888888888893,21.985714285714288,20.9875,27.96666666666667,17.7125,23.577777777777786,Spring,2006,5
2006-05-22,6.671428571428572,4.9875,10.666666666666666,2.8428571428571425,9.0,19.51428571428571,18.4125,29.816666666666666,17.4375,20.500000000000004,Spring,2006,5
2006-05-23,6.885714285714287,4.425,12.616666666666667,3.7285714285714286,10.349999999999998,21.442857142857143,19.725,29.33333333333333,18.4125,24.82,Spring,2006,5
2006-05-24,9.985714285714286,6.05,11.766666666666666,5.4,14.56,25.814285714285717,23.7625,29.266666666666666,21.3875,28.22,Spring,2006,5
2006-05-25,16.114285714285714,12.9875,8.166666666666666,9.9,17.439999999999998,28.4,27.0125,29.45000000000001,25.142857142857146,27.440000000000005,Spring,2006,5
2006-05-26,16.828571428571426,16.8125,11.2,14.371428571428568,16.1,25.557142857142853,28.125,29.98333333333333,26.8625,26.37,Spring,2006,5
2006-05-27,16.52857142857143,14.725,14.083333333333336,14.285714285714285,17.12,29.385714285714283,27.425,31.866666666666664,25.3375,28.69,Spring,2006,5
2006-05-28,19.18571428571429,17.987499999999994,16.2,14.816666666666668,20.23,30.800000000000004,30.4125,33.333333333333336,28.728571428571428,31.940000000000005,Spring,2006,5
2006-05-29,20.97142857142857,20.2125,10.283333333333333,17.057142857142857,21.68,32.3,32.5125,31.566666666666666,31.014285714285716,33.09,Spring,2006,5
2006-05-30,20.157142857142862,20.0,9.533333333333333,17.7,19.45,32.14285714285714,32.457142857142856,26.11666666666667,32.07142857142857,30.79,Spring,2006,5
2006-05-31,18.742857142857144,19.428571428571427,7.7,18.32857142857143,16.889999999999993,30.0,31.914285714285718,23.066666666666674,31.67142857142857,26.95,Spring,2006,5
2006-06-01,17.3,18.557142857142857,6.583333333333335,18.25714285714286,15.89,26.46250000000001,29.75714285714286,27.6,29.385714285714283,27.06,Summer,2006,6
2006-06-02,14.875000000000002,15.871428571428574,9.983333333333333,14.77142857142857,14.61,24.95000000000001,24.45714285714286,30.1,25.385714285714283,28.1,Summer,2006,6
2006-06-03,13.3375,12.77142857142857,12.142857142857142,12.1625,15.219999999999995,27.4875,25.057142857142853,31.52857142857143,20.9,29.67,Summer,2006,6
2006-06-04,12.65,12.3,14.914285714285715,10.4125,15.339999999999998,26.525,24.842857142857138,31.585714285714282,22.625,29.23,Summer,2006,6
2006-06-05,11.6,10.657142857142855,15.642857142857142,9.937499999999998,14.350000000000005,26.1875,24.6,31.42857142857143,22.6625,27.73,Summer,2006,6
2006-06-06,13.5375,11.914285714285715,12.085714285714285,11.814285714285715,16.000000000000004,26.325,26.985714285714288,32.871428571428574,26.25,27.79,Summer,2006,6
2006-06-07,16.325,14.999999999999998,14.7,12.3,17.330000000000002,27.1625,27.47142857142857,33.357142857142854,26.8875,29.78,Summer,2006,6
2006-06-08,15.975,15.171428571428569,15.228571428571426,13.400000000000002,16.830000000000002,29.3,26.42857142857143,34.05714285714286,25.225,30.78,Summer,2006,6
2006-06-09,14.575,14.928571428571427,16.099999999999998,13.175,16.779999999999998,28.125,26.814285714285717,32.885714285714286,25.375,28.99,Summer,2006,6
2006-06-10,11.9375,13.014285714285714,12.714285714285715,10.785714285714288,10.510000000000002,23.875,24.442857142857147,31.414285714285718,22.35,23.29,Summer,2006,6
2006-06-11,12.075,12.542857142857144,10.471428571428572,9.685714285714283,10.21,20.4125,19.914285714285715,25.1,19.0875,15.44,Summer,2006,6
2006-06-12,10.675,11.6,11.914285714285713,9.914285714285716,8.95,20.6375,21.02857142857143,26.52857142857143,19.9875,19.26,Summer,2006,6
2006-06-13,10.9125,11.2,13.557142857142859,10.771428571428574,11.0,23.75,23.728571428571428,30.242857142857147,22.3125,25.33,Summer,2006,6
2006-06-14,12.775,11.875,16.185714285714287,11.037499999999998,14.34,26.5125,25.125000000000004,34.42857142857143,23.9,27.45,Summer,2006,6
2006-06-15,14.575,12.975,17.3,10.8875,17.38,27.5625,26.8875,34.67142857142857,25.425000000000004,27.0,Summer,2006,6
2006-06-16,18.4125,16.6,14.842857142857142,12.1,19.719999999999995,30.0125,29.0375,30.4,27.3625,30.33,Summer,2006,6
2006-06-17,20.4125,17.650000000000006,14.016666666666666,15.3375,22.0,31.75,31.125,26.399999999999995,29.9375,31.99,Summer,2006,6
2006-06-18,20.2875,19.45,11.766666666666666,17.424999999999994,19.110000000000007,28.85,31.52500000000001,25.16666666666667,30.7,29.51,Summer,2006,6
2006-06-19,18.1875,18.2875,11.383333333333333,17.6875,16.779999999999998,26.9625,26.9625,28.15,29.725,30.21,Summer,2006,6
2006-06-20,16.4,16.25,14.185714285714289,15.4875,15.609999999999996,29.1125,29.3,28.957142857142863,28.32500000000001,28.17,Summer,2006,6
2006-06-21,19.8,18.05,15.714285714285715,16.175,18.1,28.6125,29.0375,29.45714285714286,26.962499999999995,27.82,Summer,2006,6
2006-06-22,19.914285714285715,20.8375,12.071428571428573,16.9625,17.94,30.07142857142857,32.0125,26.185714285714287,27.9375,28.68,Summer,2006,6
2006-06-23,16.450000000000006,18.4,11.585714285714285,17.3625,15.84,27.425,29.5875,26.5,28.15,26.620000000000005,Summer,2006,6
2006-06-24,13.812500000000002,15.4125,12.385714285714286,15.487500000000002,15.788888888888884,26.875000000000004,26.7375,28.08571428571429,24.3625,28.522222222222233,Summer,2006,6
2006-06-25,15.675,15.062500000000002,11.899999999999995,14.457142857142856,15.27,26.8875,27.35,26.82857142857143,25.97142857142857,27.23,Summer,2006,6
2006-06-26,15.3375,15.4125,7.628571428571428,15.4875,14.5,24.162499999999994,27.2875,25.242857142857147,25.13750000000001,23.72,Summer,2006,6
2006-06-27,14.65,15.2875,8.814285714285713,15.8375,13.23,24.442857142857147,27.7125,27.92857142857143,25.5625,24.85,Summer,2006,6
2006-06-28,14.225,15.0125,11.72857142857143,15.4875,13.72,26.5375,26.812500000000004,30.157142857142862,27.01250000000001,26.79,Summer,2006,6
2006-06-29,14.175,14.0125,12.37142857142857,13.328571428571427,13.73,26.65,27.0875,32.442857142857136,26.9,27.4,Summer,2006,6
2006-06-30,14.937499999999998,13.625,14.828571428571427,12.9125,15.62,28.125,26.3125,35.071428571428584,25.7125,29.21,Summer,2006,6
2006-07-01,18.4,15.2625,17.983333333333327,15.475,19.1,29.7125,28.55,34.26666666666666,27.924999999999994,30.11000000000001,Summer,2006,7
2006-07-02,21.48333333333333,19.2375,14.9,17.785714285714285,20.66,31.85,32.71250000000001,30.75,30.9,32.16,Summer,2006,7
2006-07-03,20.3375,20.24285714285714,15.383333333333333,19.528571428571446,20.07,31.12500000000001,32.128571428571426,30.0,29.375,30.26,Summer,2006,7
2006-07-04,19.85,20.871428571428574,14.166666666666664,19.112500000000004,17.42222222222222,30.2875,29.985714285714284,29.53333333333333,26.875,29.25555555555556,Summer,2006,7
2006-07-05,15.425,15.4125,13.7,15.5625,13.829999999999998,27.0125,28.625,26.66666666666667,25.1375,26.72,Summer,2006,7
2006-07-06,13.475,12.025,13.05,11.528571428571427,13.144444444444444,26.2375,24.025,27.766666666666666,23.571428571428577,26.977777777777767,Summer,2006,7
2006-07-07,12.6875,12.5625,14.716666666666667,12.0875,13.7375,27.0,25.7125,31.016666666666666,24.6,27.76250000000001,Summer,2006,7
2006-07-08,14.1625,14.0875,17.01666666666667,13.485714285714286,15.000000000000002,28.4,26.9,32.76666666666667,25.8,27.8375,Summer,2006,7
2006-07-09,18.35,15.975,16.666666666666668,15.274999999999995,17.766666666666666,29.2125,27.63750000000001,29.71666666666667,27.225,30.11111111111111,Summer,2006,7
2006-07-10,18.4875,18.55,16.099999999999998,17.362499999999994,18.588888888888885,29.7875,29.1625,29.25,27.5,31.0,Summer,2006,7
2006-07-11,19.3875,20.075000000000006,14.45,18.55,19.45555555555556,26.125,28.7625,29.466666666666665,29.025,25.93333333333333,Summer,2006,7
2006-07-12,20.700000000000006,21.2,15.466666666666667,19.6,20.311111111111114,27.0,26.1,32.23333333333333,27.47142857142857,27.23333333333333,Summer,2006,7
2006-07-13,20.562500000000004,20.275,16.483333333333334,20.3625,19.933333333333334,29.1625,28.07500000000001,32.49999999999999,27.225,29.0,Summer,2006,7
2006-07-14,21.37142857142857,20.6375,13.616666666666665,20.0,18.7,30.942857142857147,30.0625,35.11666666666667,28.6,31.42222222222223,Summer,2006,7
2006-07-15,20.775,20.47142857142857,17.5,18.75,19.633333333333333,31.8875,30.542857142857148,37.68333333333333,30.7375,32.42222222222223,Summer,2006,7
2006-07-16,21.4625,19.2875,19.433333333333334,19.25714285714286,20.48888888888889,33.8875,32.6375,38.53333333333333,31.8,34.20000000000001,Summer,2006,7
2006-07-17,22.7125,19.5625,18.533333333333328,19.65,22.5,34.025,32.7625,37.95,32.4375,35.22000000000001,Summer,2006,7
2006-07-18,20.762500000000006,20.0,14.366666666666667,20.0125,18.61,33.4,32.5625,35.36666666666667,31.45,33.67999999999999,Summer,2006,7
2006-07-19,19.12857142857143,20.0,16.583333333333332,19.375000000000004,18.39,30.642857142857146,31.0375,33.53333333333333,29.937500000000004,31.38000000000001,Summer,2006,7
2006-07-20,20.657142857142862,20.8375,17.683333333333334,19.82857142857143,20.94,30.771428571428576,26.525,34.9,30.9,31.33,Summer,2006,7
2006-07-21,19.67142857142857,21.050000000000004,14.183333333333332,20.225,18.72,28.414285714285718,28.075,30.55,29.9375,28.550000000000004,Summer,2006,7
2006-07-22,14.971428571428573,16.95,13.5,16.6625,15.220000000000002,25.014285714285716,27.5625,29.350000000000005,27.2125,25.890000000000004,Summer,2006,7
2006-07-23,15.071428571428573,13.812500000000002,15.283333333333333,14.5875,15.38,27.4,26.175,32.766666666666666,25.63750000000001,28.29,Summer,2006,7
2006-07-24,17.35,14.8625,18.25,15.475,18.16,28.9375,27.775,34.71666666666666,27.4375,30.79,Summer,2006,7
2006-07-25,20.15,17.2,19.066666666666666,15.9875,19.57,30.9875,29.625000000000004,34.166666666666664,28.6125,31.56,Summer,2006,7
2006-07-26,20.95714285714286,19.525,15.016666666666666,17.375,19.81,31.67142857142857,30.5625,32.76666666666666,29.45000000000001,30.95,Summer,2006,7
2006-07-27,21.857142857142854,21.525,16.400000000000002,19.512500000000006,20.78,30.95714285714286,29.175,35.46666666666665,29.1,30.890000000000004,Summer,2006,7
2006-07-28,21.2,20.9875,17.483333333333334,20.24285714285714,20.34,30.942857142857147,28.6125,35.933333333333344,28.157142857142855,31.88000000000001,Summer,2006,7
2006-07-29,22.3,20.975,18.05,20.775,21.07,33.01428571428571,30.8375,36.48333333333333,29.3,33.34,Summer,2006,7
2006-07-30,23.24285714285714,22.2875,19.733333333333334,21.3875,22.94,33.72857142857142,31.7375,36.95,30.7,34.72,Summer,2006,7
2006-07-31,24.12857142857143,22.9125,19.35,22.075,23.550000000000004,34.85714285714286,32.5875,35.566666666666656,31.875000000000004,35.57000000000001,Summer,2006,7
2006-08-01,25.7625,23.525,17.133333333333336,22.628571428571423,24.06,35.28749999999999,34.4375,31.185714285714287,33.24285714285714,35.30000000000001,Summer,2006,8
2006-08-02,24.0375,24.025,14.633333333333333,22.47142857142857,24.07,35.1375,34.025,30.83333333333334,33.642857142857146,32.95,Summer,2006,8
2006-08-03,21.6125,22.925,11.966666666666667,22.228571428571424,19.000000000000004,33.55,33.0375,30.766666666666666,32.77142857142858,29.78,Summer,2006,8
2006-08-04,18.5375,17.5,14.35,18.33333333333333,16.44,29.65,28.88750000000001,31.66666666666667,30.542857142857137,29.28,Summer,2006,8
2006-08-05,17.175,16.6,15.183333333333332,17.0,17.169999999999998,30.500000000000004,29.5,32.8,28.557142857142853,29.33,Summer,2006,8
2006-08-06,18.9,17.162499999999998,16.1,19.142857142857142,19.49,29.725,30.13750000000001,33.5,29.6,29.890000000000004,Summer,2006,8
2006-08-07,20.2875,19.2375,17.683333333333334,19.3,19.62,31.2625,30.9625,28.98333333333333,30.885714285714283,31.11000000000001,Summer,2006,8
2006-08-08,19.3125,18.1375,15.557142857142859,17.6,18.77,29.0375,28.9625,28.657142857142855,30.314285714285717,27.17,Summer,2006,8
2006-08-09,19.1,18.05,15.314285714285715,15.557142857142859,17.930000000000003,29.15,27.15,31.42857142857143,27.07142857142857,25.83,Summer,2006,8
2006-08-10,20.45714285714286,18.8125,14.816666666666668,15.857142857142858,19.65,29.375000000000004,27.9875,34.916666666666664,27.842857142857145,28.550000000000004,Summer,2006,8
2006-08-11,19.65,18.4,14.928571428571427,16.514285714285716,19.49,27.5875,26.6,33.74285714285715,27.157142857142855,27.940000000000005,Summer,2006,8
2006-08-12,16.6625,13.814285714285715,16.585714285714285,12.457142857142856,16.84,26.187500000000004,26.042857142857148,31.342857142857138,26.228571428571424,26.72,Summer,2006,8
2006-08-13,15.900000000000002,13.342857142857142,15.171428571428573,12.228571428571426,17.11,27.9,27.228571428571428,28.97142857142857,27.21428571428571,28.11,Summer,2006,8
2006-08-14,17.162499999999998,15.942857142857141,11.828571428571427,15.071428571428573,16.839999999999996,28.675,28.41428571428571,28.085714285714282,28.17142857142857,27.33,Summer,2006,8
2006-08-15,15.825,15.814285714285715,12.457142857142856,15.557142857142859,15.060000000000002,27.6375,26.74285714285714,29.42857142857143,28.728571428571428,27.340000000000003,Summer,2006,8
2006-08-16,14.375,12.471428571428573,15.65,13.557142857142859,15.84,28.250000000000004,27.54285714285714,29.53333333333333,27.75714285714286,28.160000000000004,Summer,2006,8
2006-08-17,15.062499999999998,13.657142857142858,15.466666666666667,14.685714285714285,17.38,28.475000000000005,28.02857142857143,31.48333333333333,28.97142857142857,27.15,Summer,2006,8
2006-08-18,17.5,15.714285714285712,17.783333333333335,16.814285714285713,19.390000000000004,28.675,29.75714285714286,29.266666666666666,29.771428571428572,26.0,Summer,2006,8
2006-08-19,20.025,21.11428571428572,12.214285714285715,19.771428571428565,18.22,28.275,28.4,28.17142857142857,29.285714285714285,25.660000000000004,Summer,2006,8
2006-08-20,17.1625,17.942857142857143,12.928571428571427,16.82857142857143,14.84,28.2,27.928571428571434,27.7,28.157142857142862,24.78,Summer,2006,8
2006-08-21,15.200000000000005,13.671428571428573,9.828571428571427,12.242857142857144,13.330000000000002,26.8625,25.47142857142857,28.742857142857137,26.914285714285718,27.05,Summer,2006,8
2006-08-22,15.7625,13.5375,11.428571428571427,12.714285714285715,15.94,28.1875,27.0875,31.514285714285712,27.87142857142857,28.94,Summer,2006,8
2006-08-23,16.5375,14.525,12.614285714285714,14.614285714285714,17.73,29.7125,28.3875,34.128571428571426,28.47142857142858,30.05,Summer,2006,8
2006-08-24,16.875,16.1875,17.3,15.8,18.99,30.425,29.225,34.77142857142857,28.814285714285717,30.940000000000005,Summer,2006,8
2006-08-25,18.3375,16.9375,12.528571428571427,16.357142857142858,19.83,28.825,29.300000000000004,30.7,28.97142857142857,30.44,Summer,2006,8
2006-08-26,19.771428571428565,17.85,11.514285714285714,16.914285714285715,19.290000000000006,28.514285714285712,29.8625,21.614285714285717,30.47142857142857,26.95,Summer,2006,8
2006-08-27,20.4,20.6375,11.657142857142858,19.357142857142858,17.44,27.300000000000004,28.8125,21.428571428571427,30.485714285714288,25.01,Summer,2006,8
2006-08-28,19.285714285714285,20.8375,11.85,20.01428571428571,15.68,25.0,28.6125,21.3,26.514285714285712,23.73,Summer,2006,8
2006-08-29,17.414285714285715,18.3375,8.049999999999999,19.04285714285714,15.34,24.828571428571426,26.162499999999994,22.86666666666667,25.485714285714288,21.890000000000004,Summer,2006,8
2006-08-30,15.8375,16.6125,9.842857142857145,17.385714285714286,13.99,23.3125,21.437500000000004,28.085714285714282,25.314285714285717,24.88,Summer,2006,8
